log2FoldChange	logCPM	pvalue	padj	baseMean
ENSG00000187608.8|mRNA|ISG15|ENSG00000187608.8|ENSG00000187608.8|0|942	0.439244921081949	5.21484672205926	0.0311898858749308	0.166142771965064	37.1385792930412
ENSG00000175756.13|mRNA|AURKAIP1|ENSG00000175756.13|ENSG00000175756.13|0|1669	0.041894441176403	5.56630362319051	0.721497400791997	0.884222068539475	47.3831965438279
ENSG00000242485.5|mRNA|MRPL20|ENSG00000242485.5|ENSG00000242485.5|0|2788	-0.117086246103666	5.57317439618686	0.321703466063246	0.615952319058846	47.6093951797026
ENSG00000160075.11|mRNA|SSU72|ENSG00000160075.11|ENSG00000160075.11|0|6925	-0.000207409472244265	7.2370358103301	0.993122757444295	1	150.856788694887
ENSG00000248333.8|mRNA|CDK11B|ENSG00000248333.8|ENSG00000248333.8|0|3488	-0.0284633219671178	6.96141257217625	0.780601268771599	0.90948249978709	124.621793295007
ENSG00000008128.22|mRNA|CDK11A|ENSG00000008128.22|ENSG00000008128.22|0|4701	-0.0977680017236013	6.40056912814306	0.416992383153614	0.695887241938356	84.4818269160955
ENSG00000268575.1|lncRNA|AL031282.2|ENSG00000268575.1|ENSG00000268575.1|0|5079	-0.130183247890124	6.47764457879957	0.255854500042887	0.550185241679639	89.1179770243922
ENSG00000008130.15|mRNA|NADK|ENSG00000008130.15|ENSG00000008130.15|0|5570	0.11569863339938	6.81501494150397	0.311160133033162	0.60550354454755	112.596247833242
ENSG00000078369.17|mRNA|GNB1|ENSG00000078369.17|ENSG00000078369.17|0|6417	0.0806303868238647	9.43582433997057	0.297599903333834	0.593436405358265	692.573962567259
ENSG00000157933.9|mRNA|SKI|ENSG00000157933.9|ENSG00000157933.9|0|6080	-0.0457341337012899	6.35947680175302	0.671741794696828	0.857055041806546	82.1094747646023
ENSG00000158109.14|mRNA|TPRG1L|ENSG00000158109.14|ENSG00000158109.14|0|2414	0.208199335615943	5.36740675089591	0.0352135045387392	0.180142886806033	41.2810210787371
ENSG00000235169.7|mRNA|SMIM1|ENSG00000235169.7|ENSG00000235169.7|0|954	0.177565957113979	3.45765832566664	0.416771056869367	0.695840861733673	10.9864876228387
