log2FoldChange	logCPM	LR	pvalue	padj	baseMean
ENSG00000187608.8|mRNA|ISG15|ENSG00000187608.8|ENSG00000187608.8|0|942	0.896583378178319	5.34892919286504	9.02941937910343	0.00265668851853321	0.0531430594913583	40.7556788821795
ENSG00000175756.13|mRNA|AURKAIP1|ENSG00000175756.13|ENSG00000175756.13|0|1669	0.244686171373905	5.61755107398251	3.02547705543613	0.0819662121275566	0.365354292389954	49.0965952187516
ENSG00000242485.5|mRNA|MRPL20|ENSG00000242485.5|ENSG00000242485.5|0|2788	0.102901935168377	5.64177238382262	0.456755275740491	0.499144316412948	0.810790640033639	49.9278329200155
ENSG00000160075.11|mRNA|SSU72|ENSG00000160075.11|ENSG00000160075.11|0|6925	0.043104159755245	7.24063992989459	0.186749955328409	0.665635480222573	0.901219149091883	151.234128044566
ENSG00000248333.8|mRNA|CDK11B|ENSG00000248333.8|ENSG00000248333.8|0|3488	-0.00134180710634228	6.96462370492999	0.000137139177162737	0.99065647171173	0.997753618392265	124.899483864513
ENSG00000008128.22|mRNA|CDK11A|ENSG00000008128.22|ENSG00000008128.22|0|4701	-0.0908875178676038	6.40283259777039	0.522683306941843	0.469699298750585	0.788482889715991	84.614475970927
ENSG00000268575.1|lncRNA|AL031282.2|ENSG00000268575.1|ENSG00000268575.1|0|5079	-0.073884241647422	6.49669332824053	0.377293880730406	0.539055075610125	0.840661843676504	90.3024564651773
ENSG00000008130.15|mRNA|NADK|ENSG00000008130.15|ENSG00000008130.15|0|5570	0.151627020520579	6.80883488526173	1.15970450440348	0.28152683204244	0.629330232017904	112.11495217084
ENSG00000078369.17|mRNA|GNB1|ENSG00000078369.17|ENSG00000078369.17|0|6417	0.0421373797111298	9.40212550508358	0.18757748650577	0.6649405490212	0.901219149091883	676.584119554063
ENSG00000157933.9|mRNA|SKI|ENSG00000157933.9|ENSG00000157933.9|0|6080	-0.0337239900982688	6.35481364801833	0.0807250886206319	0.776317187588099	0.942521248251334	81.8445047174181
ENSG00000158109.14|mRNA|TPRG1L|ENSG00000158109.14|ENSG00000158109.14|0|2414	-0.0104421399819784	5.26614909258376	0.00592311040080773	0.938653976664411	0.985509157734831	38.4829927111744
ENSG00000235169.7|mRNA|SMIM1|ENSG00000235169.7|ENSG00000235169.7|0|954	-0.0996299314174764	3.35311887429611	0.125453541814046	0.723193338842813	0.923351400496548	10.218552020822
ENSG00000069424.14|mRNA|KCNAB2|ENSG00000069424.14|ENSG00000069424.14|0|9534	0.181929508009843	6.68793178663953	2.18528762987424	0.139335032120748	0.465721210636974	103.102234269617
ENSG00000116251.9|mRNA|RPL22|ENSG00000116251.9|ENSG00000116251.9|0|4900	-0.197670079740151	10.1652487707659	1.93035635749333	0.16471946286907	0.500922693866264	1148.27204884039
ENSG00000049245.12|mRNA|VAMP3|ENSG00000049245.12|ENSG00000049245.12|0|2760	-0.115493011439757	7.05509299975454	0.780680519446086	0.376933093541795	0.718811409384203	132.982537334968
ENSG00000049247.13|mRNA|UTS2|ENSG00000049247.13|ENSG00000049247.13|0|1791	0.158471215356593	3.83868124583154	0.104859133292074	0.746074616470392	0.931491159542344	14.307316969835
ENSG00000116288.12|mRNA|PARK7|ENSG00000116288.12|ENSG00000116288.12|0|2397	0.102930963622271	7.91560742600758	0.418336390480327	0.517768322423982	0.82396455426637	241.454480734731
ENSG00000142599.17|mRNA|RERE|ENSG00000142599.17|ENSG00000142599.17|0|11503	-0.10151099346716	7.65153181616732	1.38863448024205	0.238635838609469	0.589734614550658	201.066903385701
ENSG00000074800.13|mRNA|ENO1|ENSG00000074800.13|ENSG00000074800.13|0|3958	0.436164244382233	8.75398051199845	14.9033784638295	0.000113160146590725	0.00770701426958976	431.728496597113
ENSG00000171608.15|mRNA|PIK3CD|ENSG00000171608.15|ENSG00000171608.15|0|6332	-0.251018053042033	7.32726748564488	2.65486420393191	0.103233572555469	0.404093356954997	160.593254519391
ENSG00000162441.11|mRNA|LZIC|ENSG00000162441.11|ENSG00000162441.11|0|2794	-0.259364054553696	6.88710892548405	1.75063721976243	0.185796645021	0.522211046464169	118.365836046598
ENSG00000162444.11|mRNA|RBP7|ENSG00000162444.11|ENSG00000162444.11|0|861	0.0134412995278436	5.39434088588852	0.00443790095305729	0.946886156065842	0.987657568768038	42.0589487553322
