log2FoldChange	logCPM	LR	pvalue	padj	baseMean
ENSG00000187608.8|mRNA|ISG15|ENSG00000187608.8|ENSG00000187608.8|0|942	0.0710390571711064	5.0349190417503	0.0768164426322002	0.78165894625971	0.91685302495866	32.7839785802612
ENSG00000175756.13|mRNA|AURKAIP1|ENSG00000175756.13|ENSG00000175756.13|0|1669	-0.249834206976241	5.4711078350792	2.72338347964009	0.0988881956431355	0.37317900215988	44.3575517478879
ENSG00000242485.5|mRNA|MRPL20|ENSG00000242485.5|ENSG00000242485.5|0|2788	-0.2330001193062	5.54583224722567	2.44948018144394	0.117563794792386	0.41111397922203	46.71559205929
ENSG00000160075.11|mRNA|SSU72|ENSG00000160075.11|ENSG00000160075.11|0|6925	-0.176136297031461	7.17706036728913	3.22056714295809	0.0727184312093521	0.312563595002782	144.713967792055
ENSG00000248333.8|mRNA|CDK11B|ENSG00000248333.8|ENSG00000248333.8|0|3488	-0.152796493910874	6.91997094558488	1.46715207821767	0.225795569682744	0.565328863962791	121.092940067305
ENSG00000008128.22|mRNA|CDK11A|ENSG00000008128.22|ENSG00000008128.22|0|4701	0.0412508046010899	6.43461723687903	0.0962791114689026	0.756341381677461	0.905046861446717	86.4993410271109
ENSG00000268575.1|lncRNA|AL031282.2|ENSG00000268575.1|ENSG00000268575.1|0|5079	0.0467314513188076	6.52519028721407	0.139532024173405	0.70874668743987	0.886119190700917	92.1038965514433
ENSG00000008130.15|mRNA|NADK|ENSG00000008130.15|ENSG00000008130.15|0|5570	0.0471294215207441	6.76861100628917	0.105314245679715	0.745543198965797	0.898704728462563	109.032241854084
ENSG00000078369.17|mRNA|GNB1|ENSG00000078369.17|ENSG00000078369.17|0|6417	0.115576294673602	9.41657332085561	1.55846171917687	0.211890596358885	0.546446971692342	683.393786696141
ENSG00000157933.9|mRNA|SKI|ENSG00000157933.9|ENSG00000157933.9|0|6080	-0.044749371955747	6.34775869273393	0.134681623909493	0.713626514005403	0.888729520571833	81.4452520672767
ENSG00000158109.14|mRNA|TPRG1L|ENSG00000158109.14|ENSG00000158109.14|0|2414	0.119390669354269	5.2953225282347	0.664184336020192	0.415086590430222	0.713554802839934	39.2690972720685
ENSG00000235169.7|mRNA|SMIM1|ENSG00000235169.7|ENSG00000235169.7|0|954	0.515631480521031	3.53016160288133	2.46321298924357	0.116540177359872	0.409546172157142	11.5527275656493
ENSG00000069424.14|mRNA|KCNAB2|ENSG00000069424.14|ENSG00000069424.14|0|9534	0.137856455735354	6.66394965932085	1.55677946411085	0.212137392350564	0.546446971692342	101.402517447939
ENSG00000116251.9|mRNA|RPL22|ENSG00000116251.9|ENSG00000116251.9|0|4900	-0.389753950817479	10.1213221860128	6.10346943933899	0.0134916746299922	0.114689257887349	1113.83682909427
ENSG00000049245.12|mRNA|VAMP3|ENSG00000049245.12|ENSG00000049245.12|0|2760	0.35254876036497	7.18843647788794	6.60902229676095	0.0101463354052873	0.0942172732008383	145.859594469828
ENSG00000049247.13|mRNA|UTS2|ENSG00000049247.13|ENSG00000049247.13|0|1791	-0.335094544314417	3.70510264566774	0.466849111392371	0.494440307147835	0.762282630556873	13.0420852109519
ENSG00000116288.12|mRNA|PARK7|ENSG00000116288.12|ENSG00000116288.12|0|2397	0.113693366722982	7.91025320457645	0.426985819812302	0.513471679038844	0.773655906184153	240.560040314773
ENSG00000142599.17|mRNA|RERE|ENSG00000142599.17|ENSG00000142599.17|0|11503	-0.162691755440363	7.63359987562352	3.76857875547859	0.0522239894445489	0.259577275075816	198.583214977791
ENSG00000074800.13|mRNA|ENO1|ENSG00000074800.13|ENSG00000074800.13|0|3958	0.129698194423211	8.63862422872813	2.58462302001376	0.107906096268415	0.391282254588562	398.552019532018
ENSG00000171608.15|mRNA|PIK3CD|ENSG00000171608.15|ENSG00000171608.15|0|6332	-0.061159621776558	7.37696298945032	0.212779745249613	0.644597337923887	0.852940554903701	166.221476889159
ENSG00000162441.11|mRNA|LZIC|ENSG00000162441.11|ENSG00000162441.11|0|2794	-0.0528796565022153	6.94126030269542	0.0659406107584815	0.797341631716511	0.922667092887921	122.893116781787
ENSG00000162444.11|mRNA|RBP7|ENSG00000162444.11|ENSG00000162444.11|0|861	-0.120419878353862	5.35291845520243	0.311664479121916	0.576660586088821	0.810583590421166	40.8685302355663
ENSG00000142657.20|mRNA|PGD|ENSG00000142657.20|ENSG00000142657.20|0|2966	0.377750314306345	8.49890937930408	3.66074374603077	0.0557087597959244	0.270322149951216	361.765088396184
ENSG00000120948.16|mRNA|TARDBP|ENSG00000120948.16|ENSG00000120948.16|0|6071	0.0272955849348595	6.65705695740208	0.0659319326668495	0.797354677021129	0.922667092887921	100.919206476967
ENSG00000277726.4|mRNA|AL109811.4|ENSG00000277726.4|ENSG00000277726.4|0|2205	-0.00591292737861559	6.25307784306255	0.00253224115847672	0.959866287577715	0.990144000590683	76.2718000362973
ENSG00000116649.9|mRNA|SRM|ENSG00000116649.9|ENSG00000116649.9|0|1898	-0.420811713301726	5.30592179882623	3.88453505305005	0.0487327540959805	0.248484925296885	39.5586640170128
ENSG00000171824.13|mRNA|EXOSC10|ENSG00000171824.13|ENSG00000171824.13|0|6003	-0.063817331056901	6.43132051055059	0.206154101978846	0.649798625885134	0.856171796105217	86.3019056179072
ENSG00000199347.1|snRNA|RNU5E-1|ENSG00000199347.1|ENSG00000199347.1|0|120	3.25226141953495	1.47752155206781	43.6160687848231	3.99544871966213e-11	4.48195335787981e-09	2.78469930489303
ENSG00000201801.1|snRNA|RNU5E-4P|ENSG00000201801.1|ENSG00000201801.1|0|120	4.85273904307	1.03573102340582	113.803857955704	1.43857347153465e-26	7.48188984604521e-24	2.05015220901123
ENSG00000116688.16|mRNA|MFN2|ENSG00000116688.16|ENSG00000116688.16|0|4973	0.184536128264233	7.83535318270434	0.604710169295601	0.436786505460388	0.725376196515653	228.389605638568
ENSG00000028137.18|mRNA|TNFRSF1B|ENSG00000028137.18|ENSG00000028137.18|0|3766	0.742757306912268	6.09890273156327	9.59109299200547	0.00195523521673452	0.0312455326115592	68.5413513785287
ENSG00000116731.22|mRNA|PRDM2|ENSG00000116731.22|ENSG00000116731.22|0|10923	-0.0984160639941795	7.51761200869505	1.26228861484466	0.261218331214519	0.601864709173687	183.24271185333
ENSG00000142634.12|mRNA|EFHD2|ENSG00000142634.12|ENSG00000142634.12|0|2531	0.00372251064790274	8.68149423168539	0.0007420817248871	0.978267373376414	0.994365918922226	410.572796661963
ENSG00000215695.1|mRNA|RSC1A1|ENSG00000215695.1|ENSG00000215695.1|0|1854	0.113661098061309	5.22293834314606	0.292743295289334	0.588467901651567	0.816943670310268	37.3474630953024
ENSG00000116786.11|mRNA|PLEKHM2|ENSG00000116786.11|ENSG00000116786.11|0|4122	-0.0834418277657741	6.00928041276217	0.339985401460837	0.559837648591052	0.803923490860796	64.4130192728569
ENSG00000065526.10|mRNA|SPEN|ENSG00000065526.10|ENSG00000065526.10|0|13294	0.0241218086042916	7.89059376937838	0.0642474076614299	0.799904481902138	0.923376420694538	237.304190932217
