baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000187608.8|mRNA|ISG15|ENSG00000187608.8|ENSG00000187608.8|0|942	101.732262863544	0.104415580235382	0.251342277033118	0.415431822564509	0.677825814923841	0.866707583985015
ENSG00000175756.13|mRNA|AURKAIP1|ENSG00000175756.13|ENSG00000175756.13|0|1669	138.267770290113	-0.226425709071173	0.134444968313482	-1.68415160426995	0.0921523734509109	0.347072895663372
ENSG00000242485.5|mRNA|MRPL20|ENSG00000242485.5|ENSG00000242485.5|0|2788	145.679069661522	-0.20565179383997	0.130739595593067	-1.5729878382068	0.115721634313075	0.396433215512036
ENSG00000160075.11|mRNA|SSU72|ENSG00000160075.11|ENSG00000160075.11|0|6925	457.133325180595	-0.152046256186208	0.0779645794268903	-1.95019658034308	0.0511526932381124	0.244007425643736
ENSG00000248333.8|mRNA|CDK11B|ENSG00000248333.8|ENSG00000248333.8|0|3488	380.999538793841	-0.130319416950112	0.107211596701791	-1.21553470855018	0.224162219225221	0.547438180099496
ENSG00000008128.22|mRNA|CDK11A|ENSG00000008128.22|ENSG00000008128.22|0|4701	272.54447503415	0.0658790324182071	0.123936831688632	0.531553304377796	0.595035413427324	0.817320769355286
ENSG00000268575.1|lncRNA|AL031282.2|ENSG00000268575.1|ENSG00000268575.1|0|5079	290.504098686691	0.0702766085595074	0.11589144710691	0.606400302299075	0.54424896778169	0.785679622679548
ENSG00000008130.15|mRNA|NADK|ENSG00000008130.15|ENSG00000008130.15|0|5570	343.349777541025	0.0779364745657709	0.134117947709945	0.58110399015591	0.561170369572649	0.793474016641629
ENSG00000078369.17|mRNA|GNB1|ENSG00000078369.17|ENSG00000078369.17|0|6417	2191.85500661574	0.141501684533643	0.0997489872407826	1.41857765625303	0.15602218382423	0.464172081985657
ENSG00000157933.9|mRNA|SKI|ENSG00000157933.9|ENSG00000157933.9|0|6080	258.080038938134	-0.0249333920294324	0.123911764526364	-0.20121892481103	0.84052739426516	0.944477196735194
ENSG00000158109.14|mRNA|TPRG1L|ENSG00000158109.14|ENSG00000158109.14|0|2414	123.809050752623	0.143173675196823	0.153659941040355	0.931756671436064	0.351462291386316	0.664577828145836
ENSG00000235169.7|mRNA|SMIM1|ENSG00000235169.7|ENSG00000235169.7|0|954	34.5945917105883	0.532723808084291	0.337290803280407	1.57941990384307	0.114239774956676	0.39395162900973
ENSG00000069424.14|mRNA|KCNAB2|ENSG00000069424.14|ENSG00000069424.14|0|9534	319.466800441192	0.161677570994808	0.0928273961361249	1.74170102496163	0.0815607730741237	0.321799436384181
ENSG00000116251.9|mRNA|RPL22|ENSG00000116251.9|ENSG00000116251.9|0|4900	3509.69315147278	-0.364930919530627	0.133299568031178	-2.73767518470332	0.00618751552295665	0.0600997899946265
ENSG00000049245.12|mRNA|VAMP3|ENSG00000049245.12|ENSG00000049245.12|0|2760	468.999678663199	0.383012609249188	0.15771591664437	2.42849686574649	0.0151615561600192	0.111346935547458
ENSG00000049247.13|mRNA|UTS2|ENSG00000049247.13|ENSG00000049247.13|0|1791	39.2961523542199	-0.294043124560417	0.483011628262465	-0.608770280786359	0.542676715077359	0.785548018674112
ENSG00000116288.12|mRNA|PARK7|ENSG00000116288.12|ENSG00000116288.12|0|2397	779.747923355303	0.148365664979442	0.198249667398527	0.748377875868981	0.454232263441066	0.728443469251837
ENSG00000142599.17|mRNA|RERE|ENSG00000142599.17|ENSG00000142599.17|0|11503	632.116004057076	-0.137463476500426	0.0810043979417388	-1.69698781786261	0.0896989636990744	0.34169296338402
ENSG00000074800.13|mRNA|ENO1|ENSG00000074800.13|ENSG00000074800.13|0|3958	1270.8732876579	0.153266005576749	0.0736732840837433	2.08034713645361	0.0374937042599723	0.201331355645972
ENSG00000171608.15|mRNA|PIK3CD|ENSG00000171608.15|ENSG00000171608.15|0|6332	523.945463399413	-0.0361718445081997	0.115991833609052	-0.311848199849277	0.75515589112175	0.905457108957597
